product_id,product_name,category,price,stock_quantity
1,Sleek Soft Computer,Sports & Outdoors,489.00,385
2,Oriental Metal Bike,Automotive,461.00,260
3,Handcrafted Cotton Computer,Toys,330.00,293
4,Intelligent Concrete Towels,Home & Kitchen,445.00,113
5,Bespoke Wooden Shirt,Toys,252.00,95
6,Handmade Concrete Table,Automotive,138.00,490
7,Refined Steel Computer,Clothing,487.00,493
8,Unbranded Metal Ball,Clothing,187.00,197
9,Licensed Metal Tuna,Sports & Outdoors,483.00,287
10,Bespoke Granite Mouse,Home & Kitchen,406.00,489
11,Awesome Steel Salad,Books,460.00,166
12,Small Bronze Chips,Clothing,135.00,186
13,Electronic Concrete Towels,Clothing,348.00,78
14,Rustic Soft Gloves,Beauty,94.00,157
15,Sleek Bronze Chips,Automotive,18.00,96
16,Handcrafted Steel Sausages,Electronics,376.00,496
17,Handcrafted Plastic Tuna,Electronics,112.00,342
18,Handcrafted Bronze Gloves,Toys,378.00,343
19,Ergonomic Concrete Tuna,Clothing,196.00,98
20,Incredible Bronze Computer,Books,261.00,131
21,Tasty Metal Soap,Home & Kitchen,433.00,221
22,Modern Granite Soap,Home & Kitchen,470.00,48
23,Luxurious Steel Soap,Clothing,125.00,369
24,Recycled Soft Fish,Automotive,156.00,380
25,Electronic Soft Chair,Sports & Outdoors,374.00,244
26,Small Plastic Towels,Clothing,12.00,476
27,Handcrafted Cotton Computer,Clothing,24.00,307
28,Handcrafted Cotton Soap,Electronics,381.00,386
29,Handcrafted Plastic Sausages,Books,462.00,379
30,Licensed Rubber Cheese,Books,203.00,451
31,Luxurious Cotton Shoes,Electronics,327.00,193
32,Bespoke Bronze Hat,Automotive,137.00,282
33,Practical Bronze Fish,Beauty,379.00,103
34,Handmade Bronze Shoes,Electronics,260.00,29
35,Practical Cotton Computer,Clothing,118.00,132
36,Gorgeous Bronze Pizza,Clothing,31.00,4
37,Awesome Plastic Pizza,Home & Kitchen,327.00,383
38,Incredible Granite Pants,Toys,416.00,335
39,Modern Steel Cheese,Clothing,475.00,375
40,Unbranded Bronze Hat,Electronics,200.00,372
41,Fantastic Bronze Cheese,Books,214.00,244
42,Fantastic Metal Shirt,Toys,211.00,52
43,Refined Soft Bacon,Sports & Outdoors,262.00,351
44,Generic Bronze Tuna,Toys,257.00,111
45,Handmade Granite Sausages,Clothing,230.00,442
46,Elegant Steel Soap,Sports & Outdoors,242.00,379
47,Fantastic Rubber Shoes,Home & Kitchen,411.00,407
48,Incredible Metal Ball,Home & Kitchen,261.00,56
49,Handmade Cotton Salad,Books,198.00,489
50,Generic Steel Chair,Books,178.00,245
51,Ergonomic Fresh Bike,Electronics,301.00,60
52,Luxurious Soft Computer,Home & Kitchen,49.00,158
53,Oriental Rubber Fish,Books,42.00,394
54,Licensed Bronze Cheese,Sports & Outdoors,53.00,52
55,Gorgeous Plastic Sausages,Toys,26.00,317
56,Bespoke Rubber Sausages,Sports & Outdoors,33.00,167
57,Luxurious Metal Chips,Electronics,207.00,28
58,Fantastic Concrete Fish,Home & Kitchen,227.00,111
59,Tasty Frozen Pizza,Beauty,131.00,298
60,Handcrafted Steel Keyboard,Clothing,364.00,202
61,Tasty Wooden Hat,Books,169.00,364
62,Small Plastic Fish,Home & Kitchen,423.00,124
63,Ergonomic Fresh Bike,Beauty,135.00,477
64,Refined Steel Chips,Electronics,434.00,23
65,Bespoke Steel Pants,Automotive,197.00,129
66,Refined Cotton Table,Electronics,336.00,14
67,Recycled Steel Car,Automotive,242.00,18
68,Awesome Metal Fish,Electronics,21.00,116
69,Electronic Steel Soap,Electronics,423.00,381
70,Bespoke Metal Fish,Clothing,344.00,266
71,Oriental Granite Car,Books,337.00,62
72,Ergonomic Fresh Shirt,Electronics,131.00,170
73,Practical Bronze Towels,Toys,221.00,219
74,Generic Metal Mouse,Automotive,29.00,335
75,Intelligent Metal Car,Beauty,170.00,46
76,Generic Plastic Mouse,Sports & Outdoors,359.00,248
77,Practical Rubber Chair,Clothing,153.00,262
78,Small Steel Bike,Books,213.00,341
79,Modern Cotton Tuna,Electronics,12.00,260
80,Handcrafted Rubber Bike,Home & Kitchen,361.00,113
81,Luxurious Wooden Keyboard,Clothing,108.00,351
82,Modern Concrete Chair,Sports & Outdoors,480.00,230
83,Awesome Metal Towels,Electronics,110.00,354
84,Sleek Frozen Hat,Home & Kitchen,209.00,294
85,Oriental Granite Sausages,Automotive,418.00,13
86,Rustic Rubber Chips,Clothing,112.00,355
87,Unbranded Cotton Salad,Clothing,373.00,228
88,Fantastic Cotton Chicken,Beauty,232.00,70
89,Awesome Metal Tuna,Electronics,168.00,200
90,Intelligent Steel Mouse,Automotive,324.00,428